X,Y,Total_de_notas
9,0.0,94
15,0.0,33
12,0.0,28
11,0.0,51
8,48.0,56
13,48.0,30
9,48.0,50
8,96.0,55
13,96.0,34
14,96.0,60
9,96.0,88
8,144.0,48
12,144.0,30
15,144.0,28
9,144.0,76
13,144.0,31
15,192.0,31
9,192.0,92
12,192.0,29
8,240.0,56
13,240.0,29
9,240.0,48
8,288.0,56
13,288.0,33
14,288.0,65
9,288.0,90
8,336.0,48
12,336.0,32
13,336.0,27
15,336.0,29
9,336.0,75
12,288.0,20
12,240.0,22
15,288.0,14
8,0.0,29
13,0.0,10
14,0.0,42
12,48.0,8
12,72.0,3
13,72.0,1
11,96.0,6
12,96.0,10
15,96.0,4
12,168.0,7
11,192.0,6
8,192.0,26
14,192.0,13
12,264.0,5
11,288.0,6
12,312.0,8
12,360.0,5
13,192.0,5
14,240.0,33
14,336.0,33
14,48.0,39
14,144.0,36
12,156.0,2
12,252.0,1
12,300.0,1
12,372.0,2
12,180.0,1
12,216.0,3
12,324.0,1
15,240.0,2
12,348.0,3
12,108.0,1
12,204.0,2
14,360.0,3
12,36.0,1
12,120.0,1
12,24.0,1
13,360.0,2
