Track name, Artist name, Album,Perfil,Caracteristica,
"Machine Gun - Live at the Fillmore East, NY - 1/1/70 - 1st Set",Jimi Hendrix,Band Of Gypsys,Músico,,
Bachianinha No. 1,Toquinho,Toquinho e Paulinho Nogueira,Músico,,
Take Five,The Dave Brubeck Quartet,Legacy Of A Legend,Músico,,
GÃ­rias do Norte / De Quinze PrÃ¡ TrÃ¡s / Sapo No Saco,Xangai,MutirÃ£o da Vida,Músico,Fonemas,
Blue Rondo Ã  la Turk,The Dave Brubeck Quartet,Time Out,Músico,,
Ninho de Vespa,Spokfrevo Orquestra,Ninho de Vespa,Músico,,
Wave,AntÃ´nio Carlos Jobim,Bossa Nova,Músico,Ritmo Voz,OK
The Optimist,Anathema,The Optimist,Músico,,
Demons,Imagine Dragons,Night Visions,Músico,,
Tanguillos de la Frontera,Son De La Frontera,Cal,Músico,,
Cordilheira,Djavan,MalÃ¡sia,Músico,,
O Quereres - Ao Vivo,Maria BethÃ¢nia,Maricotinha (ao Vivo),Músico,,
Maracatu AtÃ´mico,Chico Science,Afrociberdelia,Não-musico,,
A Thousand Years,Christina Perri,A Thousand Years,Não-músico,,
Eu só Quero Acabar Com Você,ValiduatÃ©,Alegria Girar,Não-músico,,
Blood Sweat & Tears,BTS,Wings,Não-músico,Melódica,
Mujeres Del Latino-America,Casas Populares da BR 232,NegraÃ­ndia,Músico,,
A Praieira,Chico Science,Da Lama Ao Caos,Não-músico,,
The Climb,Miley Cyrus,The Time Of Our Lives (International Version),Não-músico,,
"Symphony No.2 in E minor, Op.27: 2. Allegro molto - Live",Sergei Rachmaninoff,50 Best â€“ Rachmaninoff,Músico,,
EsperanÃ§a e Luta,Tim Rescala,Velho Chico (MÃºsica Original de Tim Rescala),Não-músico,,
Hearing Blue,Little Tybee,For Distant Viewing,Músico,,
Corrente,Chico Buarque,Meus Caros Amigos,Músico,,
Hora Do Adeus,Luiz Gonzaga,Ã“ia Eu Aqui De Novo,Músico,,
Manha de Carnaval / Eyridice,Elizeth Cardoso,Orfeo Negro (Original Motion Picture),Músico,,
É de Fazer Chorar,Eddie,Frevo do Mundo,Músico,,
Partido alto,Jorge AragÃ£o,E aÃ­?,Músico,,
Tua,Liniker e os Caramelows,Remonta,Músico,,
Zero,Liniker e os Caramelows,Cru,Músico,,
bellyache,Billie Eilish,Bellyache,Não-músico,Melódica,
Eu NÃo Existo Sem Voce,Maria BethÃ¢nia,Que Falta VocÃª Me Faz,Músico,,
JoÃ£o E Maria,Chico Buarque,Chico 50 Anos - O Trovador,Músico,,
November Rain,Guns N' Roses,Use Your Illusion I,Não-músico,,
Chiclete com banana,Banda Zaira,,Músico,,
